cycle,soh_A,ri_A,temp_A,curr_A,soh_B,ri_B,temp_B,curr_B
149,71.24353181688386,0.11450776181973936,34.16062094557915,2.0,76.87815263356086,0.10774621683972697,27.15492433679454,1.0
150,71.0355898558063,0.11475729217303245,34.180583373842595,2.0,76.73746535992763,0.10791504156808684,27.158300831361736,1.0
151,70.8274562554174,0.11500705249349912,34.20056419947993,2.0,76.59674567194655,0.10808390519366415,27.16167810387328,1.0
152,70.6191308391024,0.11525704299307712,34.22056343944617,2.0,76.45599356214937,0.10825280772542076,27.165056154508417,1.0
153,70.41061343008371,0.11550726388389954,34.240581110711965,2.0,76.31520902306609,0.1084217491723207,27.168434983446414,1.0
154,70.20190385142088,0.11575771537829495,34.2606172302636,2.0,76.174392047225,0.10859072954333,27.1718145908666,1.0
155,69.99300192601035,0.11600839768878757,34.280671815103005,2.0,76.03354262715268,0.10875974884741679,27.175194976948337,1.0
156,69.78390747658536,0.11625931102809757,34.300744882247805,2.0,75.89266075537398,0.10892880709355122,27.178576141871023,1.0
157,69.57462032571577,0.11651045560914108,34.320836448731285,2.0,75.75174642441202,0.10909790429070558,27.181958085814113,1.0
158,69.36514029580795,0.11676183164503046,34.34094653160244,2.0,75.61079962678821,0.10926704044785415,27.185340808957083,1.0
159,69.15546720910456,0.11701343934907453,34.36107514792596,2.0,75.46982035502222,0.10943621557397334,27.18872431147947,1.0
160,68.94560088768446,0.11726527893477866,34.38122231478229,2.0,75.32880860163202,0.10960542967804157,27.19210859356083,1.0
161,68.73554115346255,0.11751735061584494,34.401388049267595,2.0,75.18776435913384,0.1097746827690394,27.195493655380787,1.0
162,68.52528782818958,0.11776965460617252,34.4215723684938,2.0,75.04668762004218,0.10994397485594938,27.198879497118988,1.0
163,68.31484073345203,0.11802219111985757,34.441775289588605,2.0,74.90557837686984,0.11011330594775619,27.202266118955123,1.0
164,68.10419969067198,0.11827496037119364,34.461996829695494,2.0,74.76443662212787,0.11028267605344656,27.205653521068932,1.0
165,67.8933645211069,0.11852796257467171,34.48223700597374,2.0,74.62326234832561,0.11045208518200926,27.209041703640185,1.0
166,67.68233504584956,0.11878119794498053,34.50249583559844,2.0,74.48205554797066,0.1106215333424352,27.212430666848704,1.0
167,67.47111108582781,0.11903466669700663,34.52277333576053,2.0,74.34081621356891,0.11079102054371731,27.215820410874347,1.0
168,67.25969246180452,0.11928836904583458,34.543069523666766,2.0,74.19954433762452,0.11096054679485057,27.21921093589701,1.0
